time/s,Ewe/V,simplifying data 20 pt,simplifying data 24 pt
79330,1.5799334,0,0
79335,1.5712969,0,0
79340,1.579685,0,0
79345,1.5833154,0,0
79350,1.5708383,0,0
79355,1.5562595,0,0
79360,1.56203,0,0
79365,1.5729401,0,0
79370,1.5721185,0,0
79375,1.5799142,0,0
79380,1.5648578,0,0
79385,1.5793411,0,0
79390,1.5803537,0,0
79395,1.5735325,0,0
79400,1.5775832,1,0
79405,1.5825702,0,0
79410,1.5802391,0,0
79415,1.5736471,0,0
79420,1.5748891,0,0
79425,1.5786914,0,0
79430,1.5688512,0,0
79435,1.5669787,0,0
79440,1.5697875,0,1
79445,1.5669978,0,0
79450,1.5815957,0,0
79455,1.5793411,0,0
79460,1.5805639,0,0
79465,1.5667303,0,0
79470,1.5803919,0,0
79475,1.5728637,0,0
79480,1.5729784,0,0
79485,1.5781182,0,0
79490,1.5809842,0,0
79495,1.5768189,0,0
79500,1.5681061,1,0
79505,1.5749081,0,0
79510,1.5756916,0,0
79515,1.5690995,0,0
79520,1.5786532,0,0
79525,1.5739911,0,0
79530,1.5733604,0,0
79535,1.5708957,0,0
79540,1.5742586,0,0
79545,1.56845,0,0
79550,1.5853407,0,0
79555,1.572214,0,0
79560,1.5761119,0,1
79565,1.5765322,0,0
79570,1.5720803,0,0
79575,1.5762074,0,0
79580,1.566329,0,0
79585,1.5730357,0,0
79590,1.5781564,0,0
79595,1.565794,0,0
79600,1.574717,1,0
79605,1.5760355,0,0
79610,1.5797231,0,0
79615,1.5775832,0,0
79620,1.5761119,0,0
79625,1.5741248,0,0
79630,1.5783284,0,0
79635,1.5785576,0,0
79640,1.5827804,0,0
79645,1.5531642,0,0
79650,1.5731312,0,0
79655,1.5762074,0,0
79660,1.56845,0,0
79665,1.5647432,0,0
79670,1.5708001,0,0
79675,1.5702269,0,0
79680,1.5649151,0,1
79685,1.5750419,0,0
79690,1.5636731,0,0
79695,1.574163,0,0
79700,1.5632528,1,0
79705,1.5554188,0,0
79710,1.5692525,0,0
79715,1.5713543,0,0
79720,1.5791882,0,0
79725,1.5782901,0,0
79730,1.5817103,0,0
79735,1.5730357,0,0
79740,1.5734369,0,0
79745,1.5801244,0,0
79750,1.5722905,0,0
79755,1.5700167,0,0
79760,1.5671889,0,0
79765,1.5772393,0,0
79770,1.5760164,0,0
79775,1.5605969,0,0
79780,1.5708766,0,0
79785,1.5688512,0,0
79790,1.567017,0,0
79795,1.5773921,0,0
79800,1.5785003,1,1
79805,1.583086,0,0
79810,1.5767424,0,0
79815,1.5737044,0,0
79820,1.581825,0,0
79825,1.571316,0,0
79830,1.5742012,0,0
79835,1.5614185,0,0
79840,1.57915,0,0
79845,1.5781373,0,0
79850,1.578634,0,0
79855,1.5718893,0,0
79860,1.5777551,0,0
79865,1.5770099,0,0
79870,1.5730929,0,0
79875,1.5695581,0,0
79880,1.5755388,0,0
79885,1.5719848,0,0
79890,1.5743923,0,0
79895,1.5684117,0,0
79900,1.5789398,1,0
79905,1.5774685,0,0
79910,1.5687175,0,0
79915,1.5761119,0,0
79920,1.5714116,0,1
79925,1.5788251,0,0
79930,1.5711632,0,0
79935,1.5775832,0,0
79940,1.5759782,0,0
79945,1.5725198,0,0
79950,1.5704753,0,0
79955,1.5713543,0,0
79960,1.5769335,0,0
79965,1.5545973,0,0
79970,1.5750611,0,0
79975,1.5741056,0,0
79980,1.5705327,0,0
79985,1.5792837,0,0
79990,1.5761119,0,0
79995,1.5579028,0,0
80000,1.5676284,1,0
80005,1.5730548,0,0
80010,1.5636158,0,0
80015,1.5811753,0,0
80020,1.5777551,0,0
80025,1.5626605,0,0
80030,1.5651444,0,0
80035,1.5737426,0,0
80040,1.5762074,0,1
80045,1.584672,0,0
80050,1.5739337,0,0
80055,1.5736471,0,0
80060,1.5738955,0,0
80065,1.5721568,0,0
80070,1.5740865,0,0
80075,1.5762647,0,0
80080,1.5815575,0,0
80085,1.5674181,0,0
80090,1.5720421,0,0
80095,1.5652208,0,0
80100,1.571851,1,0
80105,1.574335,0,0
80110,1.5733223,0,0
80115,1.5706091,0,0
80120,1.5792264,0,0
80125,1.5721185,0,0
80130,1.5789398,0,0
80135,1.5731121,0,0
80140,1.5712013,0,0
80145,1.562049,0,0
80150,1.5764177,0,0
80155,1.5785385,0,0
80160,1.5783857,0,1
80165,1.5792264,0,0
80170,1.5728446,0,0
80175,1.5756916,0,0
80180,1.5753285,0,0
80185,1.5686983,0,0
80190,1.575405,0,0
80195,1.5653929,0,0
80200,1.5603294,1,0
80205,1.5805639,0,0
80210,1.5759208,0,0
80215,1.5697302,0,0
80220,1.5713924,0,0
80225,1.5859712,0,0
80230,1.5765514,0,0
80235,1.5711441,0,0
80240,1.563826,0,0
80245,1.5766469,0,0
80250,1.578806,0,0
80255,1.5654693,0,0
80260,1.5649916,0,0
80265,1.5592211,0,0
80270,1.5814046,0,0
80275,1.5714688,0,0
80280,1.571679,0,1
80285,1.5675519,0,0
80290,1.5766087,0,0
80295,1.5745451,0,0
80300,1.5783474,1,0
80305,1.5767998,0,0
80310,1.5593549,0,0
80315,1.5736662,0,0
80320,1.5776596,0,0
80325,1.5730929,0,0
